ATOM	X	Y	Z	RESIDUE
N	13.798	-2.68	9.323	1
CA	13.392	-1.637	8.344	1
C	11.87	-1.608	8.349	1
N	11.295	-0.622	9.035	2
CA	9.839	-0.479	9.158	2
C	9.212	-1.719	9.827	2
N	8.25	-1.484	10.709	3
CA	7.6	-2.56	11.456	3
C	6.696	-3.469	10.643	3
N	6.394	-4.63	11.215	4
CA	5.531	-5.579	10.547	4
C	5.152	-6.669	11.516	4
N	4.789	-7.832	10.989	5
CA	4.398	-8.97	11.82	5
C	5.225	-10.191	11.487	5
N	6.369	-9.971	10.847	6
CA	7.229	-11.076	10.471	6
C	8.259	-11.383	11.535	6
N	9.068	-12.407	11.287	7
CA	10.107	-12.832	12.216	7
C	11.072	-11.705	12.562	7
N	11.487	-10.949	11.552	8
CA	12.463	-9.892	11.779	8
C	12.002	-8.483	12.1	8
N	10.696	-8.241	12.087	9
CA	10.186	-6.905	12.388	9
C	8.852	-6.964	13.138	9
N	8.575	-8.117	13.737	10
CA	7.329	-8.329	14.454	10
C	7.194	-7.668	15.81	10
N	6.069	-7.906	16.504	11
CA	5.787	-7.333	17.822	11
C	6.945	-7.33	18.842	11
N	7.748	-8.4	18.879	12
CA	8.894	-8.493	19.795	12
C	10.053	-7.531	19.456	12
N	10.031	-6.934	18.271	13
CA	11.067	-5.989	17.87	13
C	10.568	-4.54	17.963	13
N	9.251	-4.345	18.046	14
CA	8.675	-2.99	18.07	14
C	9.25	-2.02	19.11	14
N	9.571	-2.538	20.286	15
CA	10.106	-1.695	21.347	15
C	11.358	-0.91	20.958	15
N	12.154	-1.429	20.018	16
CA	13.388	-0.741	19.615	16
C	13.15	0.641	19.009	16
N	12.098	0.789	18.214	17
CA	11.791	2.082	17.637	17
C	10.664	2.775	18.383	17
N	9.863	2.011	19.12	18
CA	8.754	2.588	19.874	18
C	8.852	2.125	21.322	18
N	9.664	2.827	22.128	19
CA	9.884	2.518	23.543	19
C	8.602	2.338	24.372	19
N	7.526	3.0	23.953	20
CA	6.247	2.925	24.665	20
C	5.697	1.499	24.643	20
N	6.298	0.632	23.829	21
CA	5.87	-0.759	23.732	21
C	5.898	-1.464	25.087	21
N	6.828	-1.063	25.951	22
CA	6.964	-1.664	27.277	22
C	6.338	-0.751	28.307	22
N	5.34	0.014	27.873	23
CA	4.656	0.947	28.751	23
C	3.827	0.326	29.862	23
N	3.123	1.178	30.599	24
CA	2.299	0.755	31.718	24
C	0.84	0.468	31.338	24
N	0.365	1.002	30.209	25
CA	-1.005	0.731	29.78	25
C	-1.09	0.292	28.308	25
N	-0.398	-0.8	28.002	26
CA	-0.354	-1.375	26.654	26
C	-1.476	-2.382	26.383	26
N	-1.909	-2.461	25.129	27
CA	-2.965	-3.384	24.721	27
C	-2.413	-4.259	23.615	27
N	-3.05	-5.414	23.352	28
CA	-4.244	-5.967	24.003	28
C	-3.846	-6.722	25.261	28
N	-4.84	-7.125	26.046	29
CA	-4.643	-7.871	27.283	29
C	-5.61	-9.039	27.279	29
N	-5.347	-9.997	28.165	30
CA	-6.191	-11.162	28.341	30
C	-7.274	-10.767	29.352	30
N	-8.529	-11.051	29.041	31
CA	-9.638	-10.734	29.938	31
C	-9.939	-11.946	30.841	31
N	-9.514	-11.883	32.1	32
CA	-9.82	-12.965	33.05	32
C	-11.224	-12.635	33.597	32
N	-12.237	-13.339	33.113	33
CA	-13.626	-13.093	33.504	33
C	-13.946	-13.19	34.984	33
N	-13.182	-13.998	35.71	34
CA	-13.421	-14.179	37.138	34
C	-12.787	-13.071	37.969	34
N	-11.931	-12.275	37.337	35
CA	-11.224	-11.173	37.995	35
C	-11.769	-9.774	37.656	35
N	-12.546	-9.682	36.581	36
CA	-13.143	-8.411	36.183	36
C	-14.166	-8.015	37.254	36
N	-14.232	-6.732	37.575	37
CA	-15.152	-6.263	38.594	37
C	-16.42	-5.684	37.984	37
N	-17.56	-6.251	38.366	38
CA	-18.844	-5.759	37.896	38
C	-18.997	-4.384	38.529	38
N	-19.085	-3.353	37.7	39
CA	-19.234	-1.992	38.183	39
C	-20.655	-1.555	37.797	39
N	-21.57	-1.49	38.774	40
CA	-22.95	-1.089	38.473	40
C	-23.141	0.372	38.064	40
N	-22.138	1.217	38.286	41
CA	-22.266	2.622	37.908	41
C	-21.98	2.872	36.419	41
N	-21.537	1.833	35.716	42
CA	-21.252	1.948	34.289	42
C	-22.606	2.059	33.603	42
N	-22.754	3.038	32.714	43
CA	-24.005	3.248	31.966	43
C	-24.021	2.399	30.692	43
N	-25.21	2.207	30.09	44
CA	-25.279	1.409	28.857	44
C	-24.624	2.171	27.704	44
N	-24.03	1.438	26.768	45
CA	-23.395	2.042	25.607	45
C	-24.471	2.661	24.741	45
N	-24.114	3.727	24.046	46
CA	-25.019	4.408	23.143	46
C	-24.324	4.462	21.776	46
N	-24.74	3.595	20.862	47
CA	-24.163	3.559	19.525	47
C	-25.168	4.208	18.565	47
N	-24.768	5.304	17.925	48
CA	-25.637	6.006	16.978	48
C	-24.916	6.101	15.632	48
N	-25.096	5.077	14.803	49
CA	-24.458	5.019	13.489	49
C	-25.457	5.198	12.329	49
N	-26.666	5.686	12.602	50
CA	-27.662	5.841	11.53	50
C	-27.328	6.826	10.41	50
N	-26.455	7.795	10.679	51
CA	-26.078	8.768	9.658	51
C	-24.608	8.604	9.216	51
N	-24.051	7.409	9.411	52
CA	-22.657	7.114	9.041	52
C	-22.375	7.197	7.536	52
N	-21.303	7.88	7.174	53
CA	-20.942	8.008	5.779	53
C	-19.606	7.376	5.494	53
N	-19.603	6.181	4.917	54
CA	-18.346	5.529	4.573	54
C	-17.853	6.172	3.268	54
N	-16.55	6.152	3.025	55
CA	-16.031	6.769	1.811	55
C	-15.034	5.947	1.015	55
N	-14.177	5.223	1.717	56
CA	-13.124	4.52	1.02	56
C	-12.599	3.33	1.792	56
N	-12.077	2.353	1.066	57
CA	-11.471	1.19	1.675	57
C	-10.048	1.182	1.144	57
N	-9.101	0.926	2.03	58
CA	-7.702	0.974	1.653	58
C	-6.876	-0.14	2.266	58
N	-5.904	-0.627	1.502	59
CA	-4.986	-1.635	1.995	59
C	-3.744	-0.807	2.37	59
N	-3.418	-0.739	3.659	60
CA	-2.279	0.067	4.1	60
C	-1.005	-0.707	4.433	60
N	-0.913	-1.961	3.999	61
CA	0.278	-2.741	4.282	61
C	0.234	-3.605	5.535	61
N	-0.702	-3.339	6.449	62
CA	-0.826	-4.151	7.669	62
C	-2.248	-4.631	7.993	62
N	-3.233	-4.079	7.286	63
CA	-4.645	-4.422	7.44	63
C	-5.375	-3.602	6.388	63
N	-6.697	-3.714	6.331	64
CA	-7.47	-2.878	5.423	64
C	-8.401	-2.028	6.287	64
N	-8.471	-0.738	5.988	65
CA	-9.321	0.186	6.731	65
C	-10.493	0.678	5.892	65
N	-11.674	0.759	6.489	66
CA	-12.825	1.321	5.799	66
C	-12.905	2.681	6.502	66
N	-12.763	3.771	5.751	67
CA	-12.781	5.129	6.293	67
C	-14.147	5.792	6.218	67
N	-14.439	6.648	7.191	68
CA	-15.715	7.356	7.258	68
C	-15.488	8.856	7.31	68
N	-16.52	9.592	6.931	69
CA	-16.523	11.05	6.946	69
C	-16.737	11.462	8.425	69
N	-15.694	11.984	9.066	70
CA	-15.763	12.402	10.472	70
C	-15.709	13.924	10.64	70
N	-16.137	14.647	9.612	71
CA	-16.13	16.103	9.648	71
C	-17.287	16.614	10.514	71
N	-18.265	15.747	10.763	72
CA	-19.428	16.089	11.573	72
C	-19.848	14.885	12.394	72
N	-20.634	15.134	13.441	73
CA	-21.124	14.075	14.32	73
C	-22.12	13.192	13.563	73
N	-21.623	12.399	12.621	74
CA	-22.471	11.518	11.824	74
C	-22.697	10.16	12.494	74
N	-21.615	9.543	12.945	75
CA	-21.692	8.251	13.61	75
C	-20.94	8.47	14.903	75
N	-21.61	8.308	16.037	76
CA	-20.942	8.534	17.321	76
C	-21.157	7.445	18.365	76
N	-20.287	7.449	19.364	77
CA	-20.355	6.507	20.457	77
C	-20.368	7.379	21.712	77
