Knot_type	Uniprot_ID	Molecular_Function
5_2	Q54T48	Hydrolase, Protease, Thiol protease
5_2	K7K4Y1	Hydrolase, Protease, Thiol protease
5_2	Q8GWE1	Hydrolase, Protease, Thiol protease
5_2	Q965V9	Hydrolase, Protease, Thiol protease
5_2	Q8IKM8	Hydrolase, Protease, Thiol protease
5_2	Q54N38	Hydrolase, Protease, Thiol protease
5_2	Q9UUB6	Hydrolase, Protease, Thiol protease
5_2	Q9WUP7	Hydrolase, Protease, Thiol protease
5_2	Q9VYQ3	Chromatin regulator, Hydrolase, Protease, Thiol protease
5_2	Q9Y5K5	Hydrolase, Protease, Thiol protease
5_2	I1NIJ5	Hydrolase, Protease, Thiol protease
5_2	I1LBV4	Hydrolase, Protease, Thiol protease
5_2	A0A1D8PNY8	Hydrolase, Protease, Thiol protease
5_2	O04482	Hydrolase, Protease, Thiol protease
5_2	P35127	Hydrolase, Protease, Thiol protease
5_2	Q6ETK2	Hydrolase, Protease, Thiol protease
5_2	Q9XZ61	Chromatin regulator, Hydrolase, Protease, Thiol protease
5_2	I1MV53	Hydrolase, Protease, Thiol protease
5_2	Q6K6Z5	Hydrolase, Protease, Thiol protease
5_2	Q4D1R0	Hydrolase, Protease, Thiol protease
5_2	E9AH53	Hydrolase, Protease, Thiol protease
5_2	Q9FFF2	Hydrolase, Protease, Thiol protease
5_2	O23482	Developmental protein
5_2	Q09444	Hydrolase, Protease, Thiol protease
5_2	D3ZHS6	Chromatin regulator, Hydrolase, Protease, Thiol protease
5_2	Q7K5N4	Chromatin regulator, Hydrolase, Protease, Thiol protease
5_2	Q99PU7	Chromatin regulator, Hydrolase, Protease, Thiol protease
5_2	Q92560	Chromatin regulator, Hydrolase, Protease, Thiol protease
5_2	A0A0R0K2F0	Hydrolase, Protease, Thiol protease
5_2	A1L2G3	Chromatin regulator, Hydrolase, Protease, Thiol protease
5_2	A0A1D6KM35	Hydrolase, Protease, Thiol protease
5_2	A0A1D6HPV4	Hydrolase, Protease, Thiol protease
4_1	Q5VPB9	Isomerase, Oxidoreductase
4_1	Q65XK0	Oxidoreductase
4_1	A0A1D6FKV6	Isomerase, Oxidoreductase
4_1	B4FFZ2	Isomerase, Oxidoreductase
4_1	I1M3M4	Oxidoreductase
4_1	Q05758	Oxidoreductase
4_1	I1LSB5	Oxidoreductase
4_1	I1LUL9	Oxidoreductase
