	Knot_type	Source	ID
0	3_1	KnotProt	1uak
1	3_1	KnotProt	3s73
2	3_1	KnotProt	2efv
3	3_1	KnotProt	6got
4	3_1	KnotProt	5hwx
5	3_1	KnotProt	2wej
6	3_1	KnotProt	3k34
7	3_1	KnotProt	3fr7
8	3_1	KnotProt	4mlt
9	3_1	KnotProt	5eij
10	3_1	KnotProt	4r59
11	3_1	KnotProt	4mdg
12	3_1	KnotProt	3mnu
13	3_1	KnotProt	2nno
14	3_1	KnotProt	1cao
15	3_1	KnotProt	3v2j
16	3_1	KnotProt	3kon
17	3_1	KnotProt	4m2r
18	3_1	KnotProt	1thk
19	3_1	KnotProt	4lu3
20	3_1	KnotProt	2cbc
21	3_1	KnotProt	1if7
22	3_1	KnotProt	2ax2
23	3_1	KnotProt	2fos
24	3_1	KnotProt	1fqm
25	3_1	KnotProt	1xev
26	3_1	KnotProt	2nxt
27	3_1	KnotProt	5l70
28	3_1	KnotProt	3czv
29	3_1	KnotProt	3okv
30	3_1	KnotProt	2nwo
31	3_1	KnotProt	3sbi
32	3_1	KnotProt	3rz0
33	3_1	KnotProt	3t85
34	3_1	KnotProt	5yuj
35	3_1	KnotProt	2osf
36	3_1	KnotProt	4kap
37	3_1	KnotProt	1g0e
38	3_1	KnotProt	2ez7
39	3_1	KnotProt	1if9
40	3_1	KnotProt	3bl0
41	3_1	KnotProt	5gmn
42	3_1	KnotProt	5msa
43	3_1	KnotProt	5fl5
44	3_1	KnotProt	4kp5
45	3_1	KnotProt	4l5v
46	3_1	KnotProt	3u3a
47	3_1	KnotProt	3hkn
48	3_1	KnotProt	5tfx
49	3_1	KnotProt	5zya
50	3_1	KnotProt	2fnn
51	3_1	KnotProt	5jdf
52	3_1	KnotProt	1ugd
53	3_1	KnotProt	3p3j
54	3_1	KnotProt	5jes
55	3_1	KnotProt	3gz0
56	3_1	KnotProt	4qk1
57	3_1	KnotProt	5flo
58	3_1	KnotProt	5th4
59	3_1	KnotProt	5cjf
60	3_1	KnotProt	1z97
61	3_1	KnotProt	3kkx
62	3_1	KnotProt	4z1e
63	3_1	KnotProt	2vvb
64	3_1	KnotProt	3daz
65	3_1	KnotProt	1yve
66	3_1	KnotProt	1cak
67	3_1	KnotProt	5flp
68	3_1	KnotProt	5flr
69	3_1	KnotProt	4xz5
70	3_1	KnotProt	3ml5
71	3_1	KnotProt	4qsb
72	3_1	KnotProt	5ty1
73	3_1	KnotProt	3iqk
74	3_1	KnotProt	1cnj
75	3_1	KnotProt	5fls
76	3_1	KnotProt	5umc
77	3_1	KnotProt	5tt3
78	3_1	KnotProt	5g01
79	3_1	KnotProt	4ywp
80	3_1	KnotProt	4mdl
81	3_1	KnotProt	4fpt
82	3_1	KnotProt	3s72
83	3_1	KnotProt	3mhc
84	3_1	KnotProt	5sz5
85	3_1	KnotProt	6gb2
86	3_1	KnotProt	5o9z
87	3_1	KnotProt	5drs
88	3_1	KnotProt	5l6k
89	3_1	KnotProt	5llo
90	3_1	KnotProt	5lln
91	3_1	KnotProt	5llp
92	3_1	KnotProt	5msb
93	3_1	KnotProt	3po6
94	3_1	KnotProt	5thj
95	3_1	KnotProt	5jn8
96	3_1	KnotProt	5jna
97	3_1	KnotProt	5jnc
98	3_1	KnotProt	5t75
99	3_1	KnotProt	5m78
100	3_1	KnotProt	5y2r
101	3_1	KnotProt	5y2s
102	3_1	KnotProt	5zd5
103	3_1	KnotProt	5dsr
104	3_1	KnotProt	3m96
105	3_1	KnotProt	5m4s
106	3_1	KnotProt	3mhm
107	3_1	KnotProt	3m2n
108	3_1	KnotProt	5ku6
109	3_1	KnotProt	1j85
110	3_1	KnotProt	3bjx
111	3_1	KnotProt	1ipa
112	3_1	KnotProt	5vm8
113	3_1	KnotProt	5ugh
114	3_1	KnotProt	1cng
115	3_1	KnotProt	5yud
116	3_1	KnotProt	1hva
117	3_1	KnotProt	5dog
118	3_1	KnotProt	5lle
119	3_1	KnotProt	5llg
120	3_1	KnotProt	3mhl
121	3_1	KnotProt	3m5e
122	3_1	KnotProt	3m40
123	3_1	KnotProt	3m3x
124	3_1	KnotProt	3m67
125	3_1	KnotProt	3m98
126	3_1	KnotProt	5doh
127	3_1	KnotProt	5jir
128	3_1	KnotProt	2w2j
129	3_1	KnotProt	3caj
130	3_1	KnotProt	5ny3
131	3_1	KnotProt	5ny6
132	3_1	KnotProt	5nya
133	3_1	KnotProt	1fsn
134	3_1	KnotProt	2cbe
135	3_1	KnotProt	3rz5
136	3_1	KnotProt	3rz7
137	3_1	KnotProt	3s76
138	3_1	KnotProt	1zsa
139	3_1	KnotProt	6emu
140	3_1	KnotProt	1cnh
141	3_1	KnotProt	4twm
142	3_1	KnotProt	4twl
143	3_1	KnotProt	5wyk
144	3_1	KnotProt	5a1g
145	3_1	KnotProt	4cnd
146	3_1	KnotProt	5nrl
147	3_1	KnotProt	5ny1
148	3_1	KnotProt	5nxw
149	3_1	KnotProt	5nxv
150	3_1	KnotProt	5nxp
151	3_1	KnotProt	3ibu
152	3_1	KnotProt	3ibn
153	3_1	KnotProt	3ibl
154	3_1	KnotProt	5dsq
155	3_1	KnotProt	5dso
156	3_1	KnotProt	5g03
157	3_1	KnotProt	5sz0
158	3_1	KnotProt	5sz1
159	3_1	KnotProt	3bet
160	3_1	KnotProt	5sz2
161	3_1	KnotProt	5sz4
162	3_1	KnotProt	5sz7
163	3_1	KnotProt	5jn3
164	3_1	KnotProt	5tt8
165	3_1	KnotProt	5tv3
166	3_1	KnotProt	5nxg
167	3_1	KnotProt	5nxi
168	3_1	KnotProt	5nxo
169	3_1	KnotProt	5sz3
170	3_1	KnotProt	1fsq
171	3_1	KnotProt	3ryj
172	3_1	KnotProt	1ze8
173	3_1	KnotProt	6qrc
174	3_1	KnotProt	6qqq
175	3_1	KnotProt	6qra
176	3_1	KnotProt	6qqr
177	3_1	KnotProt	6qre
178	3_1	KnotProt	6qrg
179	3_1	KnotProt	6qr0
180	3_1	KnotProt	6qr1
181	3_1	KnotProt	6qqt
182	3_1	KnotProt	6qr3
183	3_1	KnotProt	6qqv
184	3_1	KnotProt	6qr2
185	3_1	KnotProt	6qqw
186	3_1	KnotProt	6qqz
187	3_1	KnotProt	6ac6
188	3_1	KnotProt	6rxz
189	3_1	KnotProt	6rxy
190	3_1	KnotProt	6qrf
191	3_1	KnotProt	6qrd
192	3_1	KnotProt	6uev
193	3_1	KnotProt	6qqm
194	3_1	KnotProt	3sax
195	3_1	KnotProt	4qsa
196	3_1	KnotProt	3s8x
197	3_1	KnotProt	5jdm
198	3_1	KnotProt	6eda
199	3_1	KnotProt	6eea
200	3_1	KnotProt	6i0j
201	3_1	KnotProt	6i0w
202	3_1	KnotProt	6rxx
203	3_1	KnotProt	6hr3
204	3_1	KnotProt	6nj5
205	3_1	KnotProt	6nj2
206	3_1	KnotProt	6ql3
207	3_1	KnotProt	6hzx
208	3_1	KnotProt	6rqn
209	3_1	KnotProt	6rqq
210	3_1	KnotProt	5jdh
211	3_1	KnotProt	5jdq
212	3_1	KnotProt	6nj4
213	3_1	KnotProt	4knn
214	3_1	KnotProt	6rxv
215	3_1	KnotProt	6afk
216	3_1	KnotProt	6ugn
217	3_1	KnotProt	6vj3
218	3_1	KnotProt	6r6y
219	3_1	KnotProt	6ux1
220	3_1	KnotProt	6otm
221	3_1	KnotProt	6oti
222	3_1	KnotProt	6oue
223	3_1	KnotProt	6rg4
224	3_1	KnotProt	6rhj
225	3_1	KnotProt	6rof
226	3_1	KnotProt	6wq7
227	3_1	KnotProt	6km1
228	3_1	KnotProt	6km2
229	3_1	KnotProt	6km3
230	3_1	KnotProt	6km5
231	3_1	KnotProt	6y74
232	3_1	KnotProt	6yma
233	3_1	KnotProt	6qnl
234	3_1	KnotProt	6qng
235	3_1	KnotProt	6qn5
236	3_1	KnotProt	6h36
237	3_1	KnotProt	6nd4
238	3_1	KnotProt	6qx9
239	3_1	KnotProt	1urt
240	3_1	KnotProt	5hya
241	3_1	KnotProt	4v7h
242	3_1	KnotProt	5z57
243	3_1	KnotProt	5z56
244	3_1	KnotProt	4cne
245	3_1	KnotProt	6rxt
246	3_1	KnotProt	4cnf
247	3_1	KnotProt	5zwm
248	3_1	KnotProt	5zwo
249	3_1	KnotProt	6emt
250	3_1	KnotProt	6emv
251	3_1	KnotProt	6ems
252	3_1	KnotProt	6gaw
253	3_1	KnotProt	6gaw
254	3_1	KnotProt	2ofz
255	3_1	KnotProt	4cng
256	3_1	KnotProt	2pow
257	3_1	KnotProt	3dvb
258	3_1	KnotProt	4itp
259	3_1	KnotProt	4mdm
260	3_1	KnotProt	3n0n
261	3_1	KnotProt	4q8z
262	3_1	KnotProt	4fl7
263	3_1	KnotProt	5fdc
264	3_1	KnotProt	5vgy
265	3_1	KnotProt	2wd3
266	3_1	KnotProt	4e5q
267	3_1	KnotProt	4wl4
268	3_1	KnotProt	5u0f
269	3_1	KnotProt	4kuy
270	3_1	KnotProt	3v2m
271	3_1	KnotProt	1g0f
272	3_1	KnotProt	5tya
273	3_1	KnotProt	4pyx
274	3_1	KnotProt	6fe1
275	3_1	KnotProt	3ryx
276	3_1	KnotProt	6bbs
277	3_1	KnotProt	4qjm
278	3_1	KnotProt	3dv7
279	3_1	KnotProt	3v7x
280	3_1	KnotProt	4ygn
281	3_1	KnotProt	5lmd
282	3_1	KnotProt	5jgs
283	3_1	KnotProt	4kp8
284	3_1	KnotProt	4z1k
285	3_1	KnotProt	4qrv
286	3_1	KnotProt	2pou
